view,ClubType,Distance,Carry,LrDistanceOut,DirectionAngle,SpinBack,SpinSide,SpinAxis,BallSpeed,0-LOWER-ANGLE,0-SHOULDER-ANGLE,0-SPINE-ANGLE,0-STANCE-RATIO,0-UPPER-TILT,1-HEAD-LOC,1-HIP-LINE,1-HIP-ROTATION,1-HIP-SHIFTED,1-LEFT-ARM-ANGLE,1-RIGHT-ARM-ANGLE,1-SHOULDER-ANGLE,1-SHOULDER-LOC,1-SPINE-ANGLE,2-HEAD-LOC,2-HIP-ANGLE,2-HIP-LINE,2-HIP-ROTATION,2-HIP-SHIFTED,2-LEFT-ARM-ANGLE,2-SHOULDER-ANGLE,2-SHOULDER-LOC,2-UPPER-TILT,3-HEAD-LOC,3-HIP-ANGLE,3-HIP-LINE,3-HIP-ROTATION,3-HIP-SHIFTED,3-LEFT-LEG-ANGLE,3-RIGHT-ARM-ANGLE,3-RIGHT-DISTANCE,3-RIGHT-LEG-ANGLE,3-SHOULDER-ANGLE,3-SHOULDER-LOC,4-HEAD-LOC,4-HIP-ANGLE,4-HIP-HANGING-BACK,4-HIP-LINE,4-HIP-ROTATION,4-HIP-SHIFTED,4-RIGHT-ARM-ANGLE,4-RIGHT-ARMPIT-ANGLE,4-SHOULDER-HANGING-BACK,4-SPINE-ANGLE,5-HEAD-LOC,5-HIP-HANGING-BACK,5-HIP-LINE,5-HIP-SHIFTED,5-LEFT-ARM-ANGLE,5-LEFT-LEG-ANGLE,5-RIGHT-ARM-ANGLE,5-SHOULDER-ANGLE,5-SHOULDER-HANGING-BACK,5-SPINE-ANGLE,6-HEAD-LOC,6-HIP-ANGLE,6-HIP-LINE,6-HIP-SHIFTED,6-LEFT-ARM-ANGLE,6-RIGHT-LEG-ANGLE,6-SHOULDER-ANGLE,6-SPINE-ANGLE,6-WEIGHT-SHIFT,7-FINISH-ANGLE,7-HIP-ANGLE,7-HIP-LINE,7-HIP-SHIFTED,7-SHOULDER-ANGLE,7-SPINE-ANGLE
FACEON,W1,151.4,138.3,46.3,9.2,3665,1638,24.08132063,47.6,,14.65,,1.78,0.61,-0.11,,9.61,-0.38,165.93,152.87,,48.38,,-0.32,,,9.93,-0.53,156.93,,57.56,0.8,-0.56,,,4.36,-0.71,,,,171.89,,61.39,-0.32,,0.45,,9.02,-0.49,,35.9,0.55,,-0.52,0.18,,0.13,180,,149.32,33.58,0.39,,-0.68,,,0.11,161.81,155.51,,,89.57,68.58,,,-0.38,,
FACEON,W1,166.4,148.7,34.6,5.7,2776,1164,22.74871142,49.7,,11.91,,1.73,0.67,-0.15,,9.49,-0.32,165.93,141.26,,46.85,,-0.44,,,9.37,-0.48,148.21,,62.4,0.79,-0.67,,,4.24,-0.65,,,,171.89,,65.37,-0.41,,0.44,,9.1,-0.34,,16.26,0.53,,-0.67,0.13,,0.22,171.89,,143.13,30.82,0.39,,-0.71,,,0.26,108.66,156.93,,,93.07,71.84,,,-0.04,,
FACEON,I6,138.9,128.1,4.4,1.8,4706,0,0,46.1,,5.24,,1.32,0.63,-0.57,,4.33,-0.62,149.32,165.93,,41.22,,-0.86,,,0,-0.9,152.87,,58.47,0.76,-1.06,,,4.99,-0.94,,,,180,,81.97,-0.6,,0.33,,3.72,-0.24,,30.68,0.44,,-0.62,0.23,,0.09,142.19,,160.05,12.24,0.23,,-0.16,,,0.43,145.08,171.89,,,97.23,85.76,,,0.67,,
FACEON,W1,198.8,176,2,0,1694,0,0,58.4,,5.9,,1.55,0.55,-0.25,,0,-0.03,165.93,152.87,,26.81,,-0.57,,,154.65,-0.14,146.1,,33.33,0.7,-0.72,,,170.87,-0.19,,,,180,,35.31,-0.48,,0,,180,-0.08,,65.8,0,,-0.63,0.19,,0.26,155.51,,144.1,21.01,0.29,,-0.53,,,0.38,97.47,161.81,,,90.6,,,,,,
FACEON,W1,171.2,150.9,22.8,4.2,2698,596,12.45683378,50.3,,14.74,,1.84,0.6,-0.08,,8.85,-0.3,168.52,136.05,,41.18,,-0.3,,,15.68,-0.45,145.08,,61.13,0.81,-0.46,,,1.77,-0.51,,,,168.52,,66.43,-0.33,,0.46,,4.09,-0.32,,25.84,0.49,,-0.7,0.19,,0.12,168.52,,147.14,29.29,0.41,,-0.79,,,0.12,160.05,163.74,,,87.5,69.03,,,-0.04,,
FACEON,I6,156.3,142.2,-0.5,4.8,3515,-876,-13.99404653,48.9,,12.25,,1.26,0.61,-0.23,,22.58,-0.5,163.74,160.05,,30.89,,-0.42,,,27.88,-0.67,168.52,,41.36,0.81,-0.57,,,19.66,-0.45,,,,160.05,,42.99,-0.2,,0.17,,22.4,0.16,,30.68,0.23,,-0.15,0.07,,0.67,180,,161.81,16.88,0.13,,-0.31,,,0.88,180,161.81,,,98.48,87.28,,,0.79,,
FACEON,W1,248.5,229.2,6.4,-0.4,1752,246,7.992702667,66.1,,15.91,,1.43,0.69,-0.56,,11.9,-0.79,171.89,142.19,,62.46,,-0.56,,,12.17,-0.85,180,,68.73,0.8,-0.47,,,7.7,-0.63,,,,155.51,,62.58,0.11,,0.28,,7.7,0.05,,37.81,0.4,,0.29,0.18,,0.44,168.52,,149.32,16.91,0.24,,0.2,,,0.47,180,150.46,,,92.5,85.04,,,0.41,,
FACEON,W1,184.2,165.2,-27.1,-4.3,1081,-436,-21.9657111,55.1,,15.03,,1.37,0.69,-0.18,,15.68,-0.72,154.16,161.81,,62.75,,-0.09,,,9.07,-0.83,146.1,,92.27,0.75,-0.6,,,17.36,-0.93,,,,171.89,,108.16,-0.31,,0.48,,14.07,-0.48,,57.99,0.74,,-0.32,0.26,,0.04,148.21,,161.81,31.22,0.44,,-0.18,,,0.45,168.52,160.05,,,96.68,79.43,,,0.24,,
FACEON,W1,188.7,172.5,-6.2,-0.6,2856,-144,-2.886418544,55.3,,15.98,,1.81,0.55,-0.14,,11.15,-0.16,165.93,165.93,,43.48,,-0.24,,,15.78,-0.2,163.74,,60.63,0.72,-0.17,,,21.16,-0.17,,,,165.93,,51.45,0.06,,0.29,,6.75,0.14,,32.86,0.4,,0.03,0.19,,0.42,165.93,,168.52,26.43,0.32,,-0.22,,,0.44,180,171.89,,,88.99,68.17,,,0.55,,
FACEON,W1,214.3,192,-3,3,1467,-491,-18.50522162,61.7,,14.6,,1.53,0.56,0.14,,14.04,-0.04,180,148.21,,44.75,,0.24,,,14.04,0.02,180,,55.32,0.73,0.45,,,7.52,-0.15,,,,168.52,,46.63,0.34,,0.27,,14.04,0.16,,33.9,0.4,,0.19,0.2,,0.47,156.93,,163.74,21.19,0.33,,0.1,,,0.73,180,163.74,,,98.5,86.12,,,1.02,,
